Annelida	Ascidia	Bryozoa	CCA	Chlorophyta	Cnidaria	Colonial_Ascidia	Crustacea	Echinodermata	Foraminifera	Mollusca	Other_Algae	Phaeophyta	Porifera	Rhodophyta
18	0	16	0	0	0	0	0	0	0	1	0	0	0	1
14	0	22	0	0	0	0	0	0	0	0	0	1	0	3
13	0	21	0	0	0	0	0	0	0	0	0	0	0	1
17	2	22	0	0	0	0	0	0	0	0	0	0	0	1
30	0	8	0	0	0	0	0	0	0	0	0	0	0	1
32	1	5	0	0	0	0	1	0	0	2	0	0	0	2
18	0	5	0	0	0	0	0	0	0	1	0	0	0	2
6	0	1	0	0	0	0	0	0	0	0	22	0	0	0
15	0	6	0	0	0	0	0	0	0	0	5	0	0	0
14	0	21	2	0	0	0	0	0	0	0	0	0	0	0
19	2	15	0	0	0	0	0	0	0	0	0	0	0	2
14	0	21	5	0	0	0	0	0	0	0	0	0	0	0
9	0	32	1	0	0	0	0	0	0	0	0	0	0	0
2	0	28	4	0	1	0	0	0	0	0	0	0	0	1
11	3	12	4	0	0	0	0	0	0	1	0	0	0	0
4	0	31	0	0	0	0	0	0	0	0	0	0	0	0
3	11	23	3	0	0	0	0	0	0	0	0	0	0	0
2	0	33	0	0	0	0	0	0	0	0	0	0	0	3
16	0	2	0	0	0	0	0	0	0	2	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	2	0	1
7	0	15	1	0	0	0	0	0	0	5	0	0	3	0
5	0	13	0	0	0	4	0	0	0	2	0	0	14	0
8	0	19	0	0	0	6	0	0	0	2	0	0	0	0
8	0	1	1	1	3	8	1	0	0	1	0	0	4	2
6	0	6	0	0	6	2	0	0	0	4	0	0	0	3
9	0	2	0	0	6	0	0	0	0	5	0	0	0	0
1	0	10	19	0	0	0	0	0	1	0	1	0	7	0
5	0	9	0	0	0	0	0	0	0	0	0	0	3	2
0	0	12	11	0	0	0	0	0	3	2	0	0	3	0
7	0	11	4	4	0	0	0	0	1	1	0	0	15	0
3	0	12	0	0	0	0	0	0	0	0	0	0	4	0
8	0	12	10	0	0	0	0	0	0	0	0	0	11	0
3	0	6	16	0	0	0	0	0	0	0	0	0	5	1
4	0	26	13	1	0	0	0	0	0	0	0	0	2	2
1	0	19	16	0	0	0	0	0	0	0	6	0	2	0
