Annelida	Ascidia	Bryozoa	CCA	Chlorophyta	Cnidaria	Colonial_Ascidia	Crustacea	Echinodermata	Foraminifera	Indeterminate	Mollusca	Not_alive	Other_Algae	Phaeophyta	Porifera	Rhodophyta
0	0	18	4	0	2	0	0	0	0	1	0	36	2	0	1	0
0	0	5	0	0	0	0	0	0	0	0	0	57	0	0	0	2
0	0	0	4	0	0	0	0	0	0	0	0	2	57	0	0	1
23	0	2	1	0	0	2	0	0	1	1	0	17	6	0	10	1
6	0	1	0	0	0	0	0	0	2	0	0	55	0	0	0	0
2	0	2	11	0	0	0	0	0	0	1	0	13	34	0	0	1
0	0	1	8	1	0	0	0	0	0	0	0	44	10	0	0	0
1	0	4	10	0	0	0	0	0	0	0	0	45	4	0	0	0
0	0	16	11	0	0	1	0	0	0	0	0	27	9	0	0	0
3	0	3	2	0	0	0	0	0	0	0	8	47	0	0	0	1
1	0	0	5	0	0	0	0	0	0	0	1	57	0	0	0	0
17	0	3	0	0	0	0	0	0	0	0	15	24	0	3	0	2
7	0	5	1	0	0	2	0	0	0	0	6	42	0	0	0	1
1	0	5	0	0	0	0	0	0	0	0	7	48	0	0	3	0
38	0	0	1	0	0	0	0	0	0	0	8	17	0	0	0	0
3	0	2	0	0	0	0	0	0	0	0	5	52	0	0	0	2
10	0	0	0	0	1	0	0	0	0	1	6	45	0	0	0	1
16	0	7	11	0	0	0	0	0	0	6	1	20	0	1	0	2
17	0	20	0	0	0	0	0	0	0	9	0	7	0	0	0	11
36	0	20	0	0	0	0	0	0	0	2	0	3	0	0	0	3
53	0	4	0	0	0	0	1	0	0	1	0	3	0	1	0	1
12	0	9	3	0	0	0	0	0	0	2	0	36	0	0	0	2
22	0	2	3	0	0	0	0	0	0	1	0	34	2	0	0	0
25	0	2	0	0	0	0	0	0	0	2	0	34	1	0	0	0
12	0	29	8	0	0	0	0	0	0	4	0	8	0	0	0	3
10	0	13	5	0	0	0	0	0	0	9	0	24	0	0	2	1
14	0	30	12	0	0	0	0	0	0	2	0	4	0	0	0	2
3	0	40	4	0	0	0	0	0	1	1	1	6	0	0	2	6
2	0	17	13	0	1	0	0	0	1	24	0	5	0	0	0	1
21	0	6	16	0	0	0	0	0	3	14	0	3	0	0	1	0
8	0	33	10	0	0	0	0	0	6	2	0	3	0	0	0	2
9	0	34	7	0	0	0	0	0	2	4	0	4	0	0	0	4
19	0	32	7	0	0	0	0	0	0	0	0	4	0	0	0	2
